row_id,var_group,var,txt_en,txt_se
0,CanadaQ,,How much do you agree or disagree with the following statements?,I hur stor grad håller du med följande påståenden?
1,CanadaQ,CanadaQ_1,,
2,CanadaQ,CanadaQ_1,Getting sick with the coronavirus/COVID-19 can be serious.,Att bli sjuk av coronaviruset/COVID-19 kan vara allvarligt.
1,CanadaQ,CanadaQ_2,,
2,CanadaQ,CanadaQ_2,I will probably get sick with the coronavirus/COVID-19.,Jag kommer troligtvis bli sjuk med coronaviruset/COVID-19.
1,CanadaQ,CanadaQ_3,,
2,CanadaQ,CanadaQ_3,The coronavirus/COVID-19 will NOT affect very many people in the country I'm currently living in.,Coronaviruset/COVID-19 kommer INTE att påverka särskilt många personer i landet jag bor i.
0,COVIDeffect,,To what extent have you been affected by the coronavirus/COVID-19 in the following ways?,I hur stor grad har du på följande sätt påverkats av coronavirus/COVID-19?
1,COVIDeffect,COVIDeffect_1,,
2,COVIDeffect,COVIDeffect_1,I have experienced financial difficulties as a result of the pandemic,Jag har upplevt ekonomiska svårigheter som ett resultat av pandemin 
1,COVIDeffect,COVIDeffect_2,,
2,COVIDeffect,COVIDeffect_2,I have experienced social difficulties as a result of the pandemic,Jag har upplevt sociala svårigheter  som ett resultat av pandemin
1,COVIDeffect,COVIDeffect_3,,
2,COVIDeffect,COVIDeffect_3,I have experienced mental health difficulties as a result of the pandemic (e.g. increased anxiety),Jag har upplevt svårigheter i min mentala hälsa som ett resultat av pandemin (t.ex. ökad ångest)
1,COVIDeffect,COVIDeffect_4,,
2,COVIDeffect,COVIDeffect_4,I have friends/family who have tested positive or died from the virus,Jag har vänner/familj som har testats positiva eller som har dött av viruset
1,COVIDexp,COVIDexp,"Have you ever had, or thought you might have, the coronavirus/COVID-19?","Har du någonsin haft, eller tror dig ha haft, coronaviruset/COVID-19?"
2,COVIDexp,COVIDexp,,
0,CultCog,,People often disagree about how far to let individuals go in making decisions for themselves. How strongly do you agree or disagree with each of these statements?,Personer är ofta oense om i hur stor omfattning man ska låta individer fatta egna beslut. I hur stor grad håller du med vart och ett av följande påståenden?
1,CultCog,CultCog_1,,
2,CultCog,CultCog_1,The government interferes far too much in our everyday lives.,Staten blandar sig i våra vardagliga liv för mycket.
1,CultCog,CultCog_2,,
2,CultCog,CultCog_2,Sometimes government needs to make laws that keep people from hurting themselves.,Ibland behöver staten skapa lagar som förhindrar att personer skadar sig själva.
1,CultCog,CultCog_3,,
2,CultCog,CultCog_3,It's not the government's business to try to protect people from themselves.,Det är inte statens uppgift att försöka skydda personer från sig själva.
1,CultCog,CultCog_4,,
2,CultCog,CultCog_4,The government should stop telling people how to live their lives.,Staten borde upphöra att berätta för personer hur de ska leva sina liv.
1,CultCog,CultCog_5,,
2,CultCog,CultCog_5,"The government should do more to advance society's goals, even if that means limiting the freedom and choices of individuals.","Staten borde göra mer för att uppnå samhällsmål, även om det innebär en begränsning av frihet och individers val."
1,CultCog,CultCog_6,,
2,CultCog,CultCog_6,Government should put limits on the choices individuals can make so they don't get in the way of what's good for society.,Staten borde sätta begränsningar på de val som individer kan göra så att dessa val inte är i vägen för det som är bra för samhället.
1,DemAge,DemAge,What is your age?,Hur gammal är du?
2,DemAge,DemAge,,
1,DemEdu,DemEdu,Please indicate your highest educational qualification:,Vänligen ange din högsta utbildningsnivå:
2,DemEdu,DemEdu,,
1,DemGen,DemGen,What is your gender?,Vilket kön tillhör du?
2,DemGen,DemGen,,
1,DemHealthcare,DemHealthcare,"Are you a healthcare provider (e.g. doctor, nurse, paramedic, pharmacist, carer)?","Arbetar du inom sjukvården (t.ex. läkare, sjuksköterska, ambulansvårdare, apotekare, vårdare)?"
2,DemHealthcare,DemHealthcare,,
1,EndDate,EndDate,End Date (GMT),Slutdatum (GMT)
2,EndDate,EndDate,,
1,Ethnic min,Ethnic min,Do you consider yourself to be part of a minority group within the country you are currently living in?,Skulle du se dig själv som tillhörande en minoritetsgrupp i det land du bor i?
2,Ethnic min,Ethnic min,,
0,FinitePool,,How worried are you personally about the following issues at present?,Hur orolig är du personligen gällande följande frågor just nu?
1,FinitePool,FinitePool_1,,
2,FinitePool,FinitePool_1,Climate change,Klimatförändring
1,FinitePool,FinitePool_2,,
2,FinitePool,FinitePool_2,Coronavirus/COVID-19,Coronaviruset/COVID-19
1,FinitePool,FinitePool_3,,
2,FinitePool,FinitePool_3,Political disagreement,Politiska oenigheter
1,FinitePool,FinitePool_4,,
2,FinitePool,FinitePool_4,Immigration,Invandring
1,FinitePool,FinitePool_5,,
2,FinitePool,FinitePool_5,Unemployment,Arbetslöshet
1,FinitePool,FinitePool_6,,
2,FinitePool,FinitePool_6,Terrorism,Terrorism
1,FinitePool,FinitePool_7,,
2,FinitePool,FinitePool_7,Air pollution,Luftföroreningar
1,FinitePool,FinitePool_8,,
2,FinitePool,FinitePool_8,Crime,Brottslighet
0,Friends,,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? ,Hur troligt är det att dina vänner och familj i landet du bor i kommer att bli direkt och personligen påverkade av följande under de kommande 6 månaderna?
1,Friends,Friends_1,,
2,Friends,Friends_1,Crime,Brottslighet
1,Friends,Friends_2,,
2,Friends,Friends_2,Financial problems,Ekonomiska problem
1,Friends,Friends_3,,
2,Friends,Friends_3,Discrimination,Diskriminering
1,Friends,Friends_4,,
2,Friends,Friends_4,Indecent or antisocial behaviour by others,Olämpligt eller osocialt beteende av andra
1,Friends,Friends_5,,
2,Friends,Friends_5,Injustice,Orättvisa
1,Friends,Friends_6,,
2,Friends,Friends_6,Corruption or fraud,Korruption eller bedrägeri
1,Friends,Friends_7,,
2,Friends,Friends_7,Immigration,Invandring
1,Friends,Friends_8,,
2,Friends,Friends_8,Catching the coronavirus/COVID-19,Bli smittad med coronaviruset/COVID-19
1,GenSocTrust,GenSocTrust,"Generally speaking, would you say most people can be trusted or that you can't be too careful in dealing with people?","Generellt sett, skulle du påstå att de flesta människor är pålitliga eller är det så att du inte kan vara nog försiktig när du har med människor att göra?"
2,GenSocTrust,GenSocTrust,,
0,Govresponse,,Please rate your answers to the following questions. Each rating should be in relation to the response in the country you are living in: ,Vänligen gradera dina svar på följande frågor. Varje bedömning ska vara i relation till hur det är i landet du bor i:
1,Govresponse,Govresponse_1,,
2,Govresponse,Govresponse_1,How much do you feel you understand the government's strategy to deal with the coronavirus/COVID-19 pandemic?,Hur mycket känner du att du förstår regeringens strategi att hantera coronaviruset/COVID-19-pandemin?
1,Govresponse,Govresponse_2,,
2,Govresponse,Govresponse_2,How much do you trust the country’s politicians to deal effectively with the pandemic?,Hur mycket litar du på förmågan hos landets politiker att effektivt hantera pandemin?
1,Govresponse,Govresponse_3,,
2,Govresponse,Govresponse_3,How much do you trust the country’s national scientific and medical advisors to know the best measures to take in the face of the pandemic?,Hur mycket litar du på att landets nationella vetenskapliga och medicinska rådgivare har kännedom om de bästa åtgärderna för att möta pandemin?
1,Govresponse,Govresponse_4,,
2,Govresponse,Govresponse_4,How much do you trust experts who are not connected with the government who are commenting on measures planned for the pandemic?,Hur mycket litar du på experter som inte har koppling till regeringen och som kommenterar planerade åtgärder för att hantera pandemin?
1,Govresponse,Govresponse_5,,
2,Govresponse,Govresponse_5,How much do you trust the World Health Organisation to know the best measures to take in the face of the pandemic?,Hur mycket litar du på att Världshälsoorganisationen (WHO) har kännedom om de bästa åtgärderna för att möta pandemin?
1,Govresponse,Govresponse_6,,
2,Govresponse,Govresponse_6,"How effective do you think the official response has been up until now in the country you are living in, in dealing with the pandemic?",Hur effektiv tror du att den offentliga hanteringen har varit fram tills nu i landet du bor i, för att möta pandemin?
1,Govresponse,Govresponse_7,,
2,Govresponse,Govresponse_7,To what extent do you feel that the personal actions you are taking to try to limit the spread of coronavirus make a difference?,I hur stor grad känner du att de personliga åtgärder du gör för att begränsa spridning av coronaviruset spelar någon roll?
1,Govresponse,Govresponse_8,,
2,Govresponse,Govresponse_8,To what extent do you feel the actions that your country is taking to limit the spread of coronavirus make a difference?,I hur stor grad känner du att de åtgärder ditt land tar för att begränsa spridning av coronaviruset spelar någon roll?
1,Govresponse,Govresponse_9,,
